Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetStopRoadGravity
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetStopSlopeResist
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetStopSpread
  0.00   1286.93     0.00        1     0.00     0.24  color_Init
  0.00   1286.93     0.00        1     0.00     0.00  color_LogIt
  0.00   1286.93     0.00        1     0.00     0.00  igrid_LogIt
  0.00   1286.93     0.00        1     0.00     3.37  igrid_ReadFiles
  0.00   1286.93     0.00        1     0.00     0.00  igrid_ValidateGrids
  0.00   1286.93     0.00        1     0.00     0.00  igrid_VerifyInputs
  0.00   1286.93     0.00        1     0.00     0.00  igrid_init
  0.00   1286.93     0.00        1     0.00     0.00  landclassSetNumClasses
  0.00   1286.93     0.00        1     0.00     0.00  landclass_Init
  0.00   1286.93     0.00        1     0.00     0.00  landclass_LogIt
  0.00   1286.93     0.00        1     0.00     0.00  mem_CheckMemory
  0.00   1286.93     0.00        1     0.00     0.00  mem_LogMinFreeWGrids
  0.00   1286.93     0.00        1     0.00     1.41  mem_LogPartition
  0.00   1286.93     0.00        1     0.00     0.00  out_center_text
  0.00   1286.93     0.00        1     0.00     0.00  pgrid_Init
  0.00   1286.93     0.00        1     0.00     0.00  proc_GetRestartFlag
  0.00   1286.93     0.00        1     0.00     0.00  proc_SetCurrentRun
  0.00   1286.93     0.00        1     0.00     0.00  proc_SetLastMonteCarlo
  0.00   1286.93     0.00        1     0.00     0.00  proc_SetNumRunsExecThisCPU
  0.00   1286.93     0.00        1     0.00     0.00  proc_SetProcessingType
  0.00   1286.93     0.00        1     0.00     0.00  proc_SetStopYear
  0.00   1286.93     0.00        1     0.00     0.00  proc_SetTotalRuns
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetBackgroundDataFilename
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffBreedBestFit
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffBreedStart
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffBreedStep
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffBreedStop
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffDiffusionBestFit
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffDiffusionStart
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffDiffusionStep
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffDiffusionStop
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffRoadGravityBestFit
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffRoadGravityStart
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffRoadGravityStep
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffRoadGravityStop
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffSlopeResistBestFit
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffSlopeResistStart
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffSlopeResistStep
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffSlopeResistStop
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffSpreadBestFit
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffSpreadStart
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffSpreadStep
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetCoeffSpreadStop
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetDateColor
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetExcludedDataFilename
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetLogBaseStatsFlag
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetLogColortablesFlag
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetLogDebugFlag
